t / s	&j / arb.u.
0,03	-0,63
0,08	-0,62
0,13	-0,63
0,18	-0,62
0,23	-0,63
0,28	-0,62
0,33	-0,63
0,38	-0,62
0,43	-0,68
0,48	-0,82
0,53	-0,94
0,58	-1,03
0,63	-1,10
0,68	-1,17
0,73	-1,88
0,78	-4,83
0,83	-8,86
0,88	-13,79
0,93	-19,82
0,98	-25,91
1,03	-31,74
1,08	-37,74
1,13	-43,66
1,18	-49,65
1,23	-55,69
1,28	-61,02
1,33	-64,96
1,38	-67,74
1,43	-69,57
1,48	-71,02
1,53	-72,40
1,58	-73,75
1,63	-74,70
1,68	-75,31
1,73	-75,91
1,78	-76,43
1,83	-76,60
1,88	-76,63
1,93	-76,62
1,98	-76,63
2,03	-76,62
2,08	-76,65
2,13	-76,70
2,18	-76,77
2,23	-76,75
2,28	-76,77
2,33	-75,89
2,38	-73,14
2,43	-68,85
2,48	-63,38
2,53	-56,81
2,58	-49,55
2,63	-41,73
2,68	-33,75
2,73	-25,67
2,78	-17,98
2,83	-10,57
2,88	-3,73
2,93	2,47
2,98	7,93
3,03	12,65
3,08	16,57
3,13	19,74
3,18	22,10
3,23	23,80
3,28	24,72
3,33	25,08
3,38	24,90
3,43	24,12
3,48	22,81
3,53	21,17
3,58	19,19
3,63	17,04
3,68	14,61
3,73	12,18
3,78	9,68
3,83	7,18
3,88	4,69
3,93	2,50
3,98	0,36
4,03	-1,51
4,08	-3,22
4,13	-4,59
4,18	-5,78
4,23	-6,70
4,28	-7,45
4,33	-7,90
4,38	-8,18
4,43	-8,24
4,48	-8,27
4,53	-7,97
4,58	-7,58
4,63	-7,00
4,68	-6,42
4,73	-5,69
4,78	-5,00
4,83	-4,29
4,88	-3,60
4,93	-2,84
4,98	-2,19
5,03	-1,51
5,08	-0,95
5,13	-0,38
5,18	0,04
5,23	0,48
5,28	0,77
5,33	1,07
5,38	1,21
5,43	1,38
5,48	1,38
5,53	1,47
5,58	1,42
5,63	1,46
5,68	1,34
5,73	1,24
5,78	1,04
5,83	0,89
5,88	0,65
5,93	0,51
5,98	0,27
6,03	0,11
6,08	-0,11
6,13	-0,24
6,18	-0,43
6,23	-0,54
6,28	-0,67
6,33	-0,74
6,38	-0,86
6,43	-0,90
6,48	-0,98
6,53	-0,96
6,58	-1,01
6,63	-1,02
6,68	-1,07
6,73	-1,03
6,78	-1,06
6,83	-1,02
6,88	-1,06
6,93	-1,01
6,98	-1,00
7,03	-0,91
7,08	-0,92
7,13	-0,84
7,18	-0,82
7,23	-0,78
7,28	-0,76
7,33	-0,72
7,38	-0,69
7,43	-0,65
7,48	-0,69
7,53	-0,66
7,58	-0,70
7,63	-0,64
7,68	-0,64
7,73	-0,61
7,78	-0,64
7,83	-0,61
7,88	-0,64
7,93	-0,60
7,98	-0,64
8,03	-0,61
8,08	-0,64
8,13	-0,60
8,18	-0,64
8,23	-0,61
8,28	-0,64
8,33	-0,60
8,38	-0,64
8,43	-0,61
8,48	-0,64
8,53	-0,60
8,58	-0,64
8,63	-0,60
8,68	-0,63
8,73	-0,60
8,78	-0,64
8,83	-0,60
8,88	-0,64
8,93	-0,60
8,98	-0,64
9,03	-0,60
9,08	-0,64
9,13	-0,60
9,18	-0,64
9,23	-0,60
9,28	-0,64
9,33	-0,61
9,38	-0,64
9,43	-0,60
9,48	-0,64
9,53	-0,60
9,58	-0,64
9,63	-0,60
9,68	-0,64
9,73	-0,61
9,78	-0,63
9,83	-0,61
9,88	-0,64
9,93	-0,60
9,98	-0,64
