t / s	&j / arb.u.
0,03	-0,58
0,08	-0,56
0,13	-0,59
0,18	-0,56
0,23	-0,58
0,28	-0,55
0,33	-0,59
0,38	-0,56
0,43	-0,58
0,48	-0,55
0,53	-0,58
0,58	-0,55
0,63	-0,58
0,68	-0,55
0,73	-0,58
0,78	-0,56
0,83	-0,59
0,88	-0,56
0,93	-0,58
0,98	-0,56
1,03	-0,59
1,08	-0,55
1,13	-0,63
1,18	-1,44
1,23	-3,76
1,28	-7,31
1,33	-12,21
1,38	-17,49
1,43	-23,30
1,48	-29,63
1,53	-35,92
1,58	-41,61
1,63	-46,49
1,68	-50,73
1,73	-54,58
1,78	-57,46
1,83	-59,94
1,88	-62,27
1,93	-64,55
1,98	-66,83
2,03	-69,07
2,08	-70,83
2,13	-71,91
2,18	-72,36
2,23	-72,89
2,28	-73,54
2,33	-74,25
2,38	-74,73
2,43	-75,04
2,48	-75,29
2,53	-75,90
2,58	-76,45
2,63	-76,90
2,68	-76,93
2,73	-76,97
2,78	-76,93
2,83	-76,97
2,88	-76,93
2,93	-76,84
2,98	-76,56
3,03	-76,44
3,08	-76,44
3,13	-76,56
3,18	-76,55
3,23	-76,58
3,28	-76,55
3,33	-76,66
3,38	-76,63
3,43	-75,84
3,48	-73,50
3,53	-69,88
3,58	-65,20
3,63	-59,85
3,68	-53,98
3,73	-47,91
3,78	-41,79
3,83	-35,92
3,88	-30,22
3,93	-24,93
3,98	-20,02
4,03	-15,57
4,08	-11,53
4,13	-7,96
4,18	-4,86
4,23	-2,36
4,28	-0,21
4,33	1,46
4,38	2,80
4,43	3,67
4,48	4,40
4,53	4,82
4,58	5,09
4,63	5,13
4,68	5,16
4,73	5,01
4,78	4,77
4,83	4,40
4,88	4,05
4,93	3,62
4,98	3,29
5,03	2,88
5,08	2,51
5,13	2,09
5,18	1,75
5,23	1,37
5,28	1,10
5,33	0,77
5,38	0,54
5,43	0,27
5,48	0,10
5,53	-0,10
5,58	-0,23
5,63	-0,38
5,68	-0,45
5,73	-0,57
5,78	-0,60
5,83	-0,67
5,88	-0,66
5,93	-0,76
5,98	-0,72
6,03	-0,76
6,08	-0,73
6,13	-0,75
6,18	-0,72
6,23	-0,76
6,28	-0,72
6,33	-0,76
6,38	-0,72
6,43	-0,76
6,48	-0,72
6,53	-0,76
6,58	-0,72
6,63	-0,76
6,68	-0,72
6,73	-0,76
6,78	-0,72
6,83	-0,76
6,88	-0,72
6,93	-0,77
6,98	-0,72
7,03	-0,76
7,08	-0,72
7,13	-0,76
7,18	-0,72
7,23	-0,76
7,28	-0,72
7,33	-0,76
7,38	-0,72
7,43	-0,75
7,48	-0,72
7,53	-0,76
7,58	-0,72
7,63	-0,76
7,68	-0,72
7,73	-0,76
7,78	-0,72
7,83	-0,77
7,88	-0,72
7,93	-0,76
7,98	-0,72
8,03	-0,76
8,08	-0,73
8,13	-0,76
8,18	-0,72
8,23	-0,76
8,28	-0,72
8,33	-0,76
8,38	-0,73
8,43	-0,76
8,48	-0,72
8,53	-0,75
8,58	-0,72
8,63	-0,76
8,68	-0,72
8,73	-0,76
8,78	-0,72
8,83	-0,76
8,88	-0,72
8,93	-0,76
8,98	-0,71
9,03	-0,76
9,08	-0,72
9,13	-0,73
9,18	-0,66
9,23	-0,70
9,28	-0,66
9,33	-0,69
9,38	-0,65
9,43	-0,69
9,48	-0,65
9,53	-0,69
9,58	-0,66
9,63	-0,70
9,68	-0,66
9,73	-0,70
9,78	-0,66
9,83	-0,70
9,88	-0,66
9,93	-0,69
9,98	-0,66
