t / s	&j / arb.u.
0,03	-0,55
0,08	-0,58
0,13	-0,55
0,18	-0,59
0,23	-0,55
0,28	-0,58
0,33	-0,54
0,38	-0,58
0,43	-0,56
0,48	-0,58
0,53	-0,55
0,58	-0,58
0,63	-0,54
0,68	-0,59
0,73	-0,55
0,78	-0,59
0,83	-0,54
0,88	-0,59
0,93	-0,55
0,98	-0,58
1,03	-0,56
1,08	-0,58
1,13	-0,55
1,18	-0,58
1,23	-0,55
1,28	-0,58
1,33	-0,55
1,38	-0,58
1,43	-0,55
1,48	-0,59
1,53	-0,56
1,58	-0,59
1,63	-0,55
1,68	-0,58
1,73	-0,55
1,78	-0,58
1,83	-0,55
1,88	-0,58
1,93	-0,55
1,98	-0,59
2,03	-0,55
2,08	-1,14
2,13	-4,40
2,18	-8,75
2,23	-12,99
2,28	-17,93
2,33	-23,26
2,38	-28,62
2,43	-34,41
2,48	-39,94
2,53	-45,03
2,58	-49,95
2,63	-54,66
2,68	-58,67
2,73	-61,50
2,78	-64,10
2,83	-66,47
2,88	-68,12
2,93	-68,90
2,98	-69,62
3,03	-70,54
3,08	-71,84
3,13	-73,40
3,18	-74,87
3,23	-75,79
3,28	-76,22
3,33	-76,20
3,38	-76,33
3,43	-76,51
3,48	-76,72
3,53	-76,92
3,58	-76,96
3,63	-76,93
3,68	-76,96
3,73	-76,93
3,78	-76,97
3,83	-76,74
3,88	-74,91
3,93	-71,08
3,98	-65,82
4,03	-59,09
4,08	-51,32
4,13	-42,55
4,18	-33,26
4,23	-23,59
4,28	-14,08
4,33	-4,66
4,38	4,16
4,43	12,45
4,48	19,87
4,53	26,43
4,58	31,96
4,63	36,52
4,68	39,93
4,73	42,28
4,78	43,36
4,83	43,56
4,88	42,77
4,93	40,94
4,98	38,19
5,03	34,78
5,08	30,73
5,13	26,30
5,18	21,43
5,23	16,37
5,28	11,12
5,33	5,88
5,38	0,77
5,43	-4,02
5,48	-8,56
5,53	-12,64
5,58	-16,23
5,63	-19,25
5,68	-21,62
5,73	-23,36
5,78	-24,53
5,83	-25,00
5,88	-25,04
5,93	-24,31
5,98	-23,08
6,03	-21,33
6,08	-19,30
6,13	-16,78
6,18	-14,10
6,23	-11,23
6,28	-8,23
6,33	-5,22
