t / s	&j / arb.u.
0,03	-0,52
0,08	-0,49
0,13	-0,53
0,18	-0,49
0,23	-0,53
0,28	-0,49
0,33	-0,52
0,38	-0,49
0,43	-0,53
0,48	-0,48
0,53	-0,53
0,58	-0,49
0,63	-0,52
0,68	-0,48
0,73	-0,52
0,78	-0,48
0,83	-0,52
0,88	-0,64
0,93	-1,71
0,98	-3,46
1,03	-6,44
1,08	-10,83
1,13	-16,33
1,18	-22,48
1,23	-28,98
1,28	-35,55
1,33	-41,81
1,38	-47,59
1,43	-53,20
1,48	-58,34
1,53	-62,98
1,58	-66,37
1,63	-68,71
1,68	-70,69
1,73	-72,64
1,78	-74,39
1,83	-75,72
1,88	-76,45
1,93	-76,63
1,98	-76,61
2,03	-76,64
2,08	-76,63
2,13	-76,69
2,18	-76,69
2,23	-76,74
2,28	-76,75
2,33	-76,78
2,38	-76,74
2,43	-76,78
2,48	-76,70
2,53	-75,48
2,58	-72,30
2,63	-67,68
2,68	-61,72
2,73	-54,74
2,78	-46,91
2,83	-38,61
2,88	-30,00
2,93	-21,49
2,98	-13,20
3,03	-5,32
3,08	1,97
3,13	8,53
3,18	14,33
3,23	19,25
3,28	23,39
3,33	26,57
3,38	28,91
3,43	30,39
3,48	31,13
3,53	31,14
3,58	30,44
3,63	29,00
3,68	27,13
3,73	24,76
3,78	22,03
3,83	18,97
3,88	15,78
3,93	12,41
3,98	9,11
4,03	5,72
4,08	2,62
4,13	-0,35
4,18	-3,04
4,23	-5,42
4,28	-7,49
4,33	-9,28
4,38	-10,71
4,43	-11,79
4,48	-12,47
4,53	-12,80
4,58	-12,86
4,63	-12,78
4,68	-12,35
4,73	-11,62
4,78	-10,68
4,83	-9,58
4,88	-8,37
4,93	-7,09
4,98	-5,79
5,03	-4,53
5,08	-3,31
5,13	-2,09
5,18	-0,97
5,23	0,08
5,28	1,00
5,33	1,81
5,38	2,46
5,43	3,01
5,48	3,36
5,53	3,62
5,58	3,75
5,63	3,81
5,68	3,78
5,73	3,75
5,78	3,51
5,83	3,26
5,88	2,90
5,93	2,53
5,98	2,06
6,03	1,62
6,08	1,14
6,13	0,71
6,18	0,24
6,23	-0,14
6,28	-0,56
6,33	-0,86
6,38	-1,21
6,43	-1,44
6,48	-1,69
6,53	-1,83
6,58	-1,98
6,63	-2,02
6,68	-2,10
6,73	-2,06
6,78	-2,10
6,83	-2,07
6,88	-2,06
6,93	-1,90
6,98	-1,80
7,03	-1,62
7,08	-1,51
7,13	-1,31
7,18	-1,19
7,23	-1,01
7,28	-0,90
7,33	-0,72
7,38	-0,64
7,43	-0,50
7,48	-0,44
7,53	-0,33
7,58	-0,32
7,63	-0,22
7,68	-0,22
7,73	-0,19
7,78	-0,22
7,83	-0,18
7,88	-0,22
7,93	-0,18
7,98	-0,22
8,03	-0,18
8,08	-0,22
8,13	-0,21
8,18	-0,31
8,23	-0,31
8,28	-0,40
8,33	-0,40
8,38	-0,47
8,43	-0,48
8,48	-0,53
8,53	-0,53
8,58	-0,58
8,63	-0,54
8,68	-0,59
8,73	-0,57
8,78	-0,64
8,83	-0,60
8,88	-0,64
8,93	-0,60
8,98	-0,64
9,03	-0,60
9,08	-0,64
9,13	-0,61
9,18	-0,65
9,23	-0,62
9,28	-0,65
9,33	-0,61
9,38	-0,64
9,43	-0,61
9,48	-0,64
9,53	-0,61
9,58	-0,64
9,63	-0,61
9,68	-0,64
9,73	-0,61
9,78	-0,64
9,83	-0,61
9,88	-0,65
9,93	-0,61
9,98	-0,64
10,03	-0,61
10,08	-0,63
10,13	-0,60
10,18	-0,63
10,23	-0,60
10,28	-0,63
10,33	-0,60
10,38	-0,63
10,43	-0,60
10,48	-0,64
10,53	-0,60
10,58	-0,64
10,63	-0,61
10,68	-0,63
10,73	-0,60
10,78	-0,64
10,83	-0,61
10,88	-0,64
10,93	-0,60
10,98	-0,64
11,03	-0,61
11,08	-0,63
11,13	-0,60
11,18	-0,63
11,23	-0,60
11,28	-0,64
11,33	-0,61
11,38	-0,64
11,43	-0,60
11,48	-0,63
11,53	-0,61
11,58	-0,64
11,63	-0,60
11,68	-0,65
11,73	-0,60
11,78	-0,63
11,83	-0,61
11,88	-0,64
11,93	-0,61
11,98	-0,63
